"URN","LAESTAB","Region","Closed","SCHNAME","addmission_type","institution_type","ADDRESS1","ADDRESS2","ADDRESS3","TOWN","PCODE","OFSTED","TELNUM","disadv1617","dis_5e_m1617","nondis_5e_m1617","dis_p8_1617","nondis_p8_1617","dis_ebacc_ent_1617","nondis_ebacc_ent_1617"
135676,"2136908","London","No","Pimlico Academy","Comprehensive (secondary)","Academy sponsor led","Lupus Street","Pimlico",NA,"London","SW1V 3AT",1,"0207 8280881",108,1,1,1,1,1,1
139791,"3014001","London","No","Riverside School","Comprehensive (secondary)","Free schools","Renwick Road",NA,NA,"Barking","IG11 0FU",2,"0203 9465888",54,1,1,1,1,1,1
135747,"3025427","London","No","JCoSS","Comprehensive (secondary)","Voluntary aided school","Castle Wood Road",NA,NA,"New Barnet","EN4 9GE",2,"0208 3442220",18,1,1,1,1,1,1
138685,"3024210","London","No","Copthall School","Comprehensive (secondary)","Academy converter","Pursley Road","Mill Hill",NA,"London","NW7 2EP",3,"0208 9591937",75,1,1,1,1,1,1
136308,"3025406","London","No","Ashmole Academy","Comprehensive (secondary)","Academy converter","Cecil Road","Southgate",NA,"London","N14 5RJ",1,"0208 3612703",35,1,1,1,1,1,1
137386,"3025402","London","No","Mill Hill County High School","Comprehensive (secondary)","Academy converter","Worcester Crescent","Mill Hill",NA,"London","NW7 4LL",2,"0844 4772424",73,1,1,1,1,1,1
135507,"3026906","London","No","Wren Academy","Comprehensive (secondary)","Academy sponsor led","Hilton Avenue","North Finchley",NA,"London","N12 9HB",1,"0208 4926000",42,1,1,1,1,1,1
137131,"3024208","London","No","Queen Elizabeth's Girls' School","Comprehensive (secondary)","Academy converter","High Street",NA,NA,"Barnet","EN5 5RR",2,"0208 4492984",46,1,1,1,1,1,1
101364,"3025407","London","No","St James' Catholic High School","Comprehensive (secondary)","Voluntary aided school","Great Strand","Colindale",NA,"London","NW9 5PE",2,"0208 3582800",61,1,1,1,1,1,1
101361,"3025404","London","No","St Michael's Catholic Grammar School","Selective (grammar)","Voluntary aided school","Nether Street","North Finchley",NA,"London","N12 7NJ",1,"0208 4462256",7,1,1,1,1,1,1
136290,"3025401","London","No","Queen Elizabeth's School, Barnet","Selective (grammar)","Academy converter","Queen's Road",NA,NA,"Barnet","EN5 4DQ",1,"0208 4414646",6,1,1,1,1,1,1
137388,"3024211","London","No","Christ's College Finchley","Comprehensive (secondary)","Academy converter","East End Road","East Finchley",NA,"London","N2 0SE",2,"0208 3493581",57,1,1,1,1,1,1
136418,"3024215","London","No","The Compton School","Comprehensive (secondary)","Academy converter","Summers Lane",NA,NA,"London","N12 0QG",1,"0208 3681783",70,1,1,1,1,1,1
137374,"3024009","London","Yes","The Totteridge Academy","Comprehensive (secondary)","Academy converter","Barnet Lane",NA,NA,"London","N20 8AZ",NA,"0208 4459205",50,1,1,1,1,1,1
101362,"3025405","London","No","Finchley Catholic High School","Comprehensive (secondary)","Voluntary aided school","Woodside Lane","Finchley",NA,"London","N12 8TA",2,"0208 4450105",21,1,1,1,1,1,1
136334,"3035403","London","No","Beths Grammar School","Selective (grammar)","Academy converter","Hartford Road",NA,NA,"Bexley","DA5 1NE",1,"0132 2556538",10,1,1,1,1,1,1
136369,"3034000","London","No","Bexley Grammar School","Selective (grammar)","Academy converter","Danson Lane",NA,NA,"Welling","DA16 2BL",1,"0208 3048538",17,1,1,1,1,1,1
137769,"3034001","London","No","Townley Grammar School","Selective (grammar)","Academy converter","Townley Road",NA,NA,"Bexleyheath","DA6 7AB",1,"0208 3048311",17,1,1,1,1,1,1
137423,"3034009","London","No","Chislehurst and Sidcup Grammar School","Selective (grammar)","Academy converter","Hurst Road",NA,NA,"Sidcup","DA15 9AG",2,"0208 3026511",10,1,1,1,1,1,1
135677,"3036906","London","No","Harris Academy Falconwood","Comprehensive (secondary)","Academy sponsor led","The Green",NA,NA,"Welling","DA16 2PE",1,"0208 3044916",30,1,1,1,1,1,1
137681,"3035402","London","No","St Catherine's Catholic School","Comprehensive (secondary)","Academy converter","Watling Street",NA,NA,"Bexleyheath","DA6 7QJ",2,"0132 2556333",36,1,1,1,1,1,1
139319,"3045410","London","No","Preston Manor School","Comprehensive (secondary)","Academy converter","Carlton Avenue East",NA,NA,"Wembley","HA9 8NA",2,"0208 3854040",100,1,1,1,1,1,1
142560,"3045406","London","No","St Gregory's Catholic Science College","Comprehensive (secondary)","Academy converter","Donnington Road","Kenton",NA,"Harrow","HA3 0NB",2,"0208 9078828",47,1,1,1,1,1,1
138457,"3044006","London","No","Wembley High Technology College","Comprehensive (secondary)","Academy converter","East Lane",NA,NA,"Wembley","HA0 3NT",1,"0208 3854800",57,1,1,1,1,1,1
135600,"3046906","London","No","Ark Academy","Comprehensive (secondary)","Academy sponsor led","Forty Avenue",NA,NA,"Wembley","HA9 9JR",1,"0208 9085466",93,1,1,1,1,1,1
136656,"3045400","London","No","Claremont High School","Comprehensive (secondary)","Academy converter","Claremont Avenue","Kenton",NA,"Harrow","HA3 0UH",1,"0208 2044442",47,1,1,1,1,1,1
136709,"3055400","London","No","Bullers Wood School","Comprehensive (secondary)","Academy converter","St Nicolas Lane","Logs Hill",NA,"Chislehurst","BR7 5LJ",1,"0208 4672280",30,1,1,1,1,1,1
137006,"3055412","London","No","Langley Park School for Girls","Comprehensive (secondary)","Academy converter","Hawksbrook Lane","South Eden Park Road",NA,"Beckenham","BR3 3BE",2,"0208 6634199",19,1,1,1,1,1,1
136551,"3055405","London","No","Newstead Wood School","Selective (grammar)","Academy converter","Avebury Road",NA,NA,"Orpington","BR6 9SA",1,"0168 9853626",7,1,1,1,1,1,1
136467,"3055408","London","No","Chislehurst School for Girls","Comprehensive (secondary)","Academy converter","Beaverwood Road","Perry Street",NA,"Chislehurst","BR7 6HE",2,"0208 3003156",49,1,1,1,1,1,1
137379,"3054002","London","No","Harris Girls Academy Bromley","Comprehensive (secondary)","Academy converter","Lennard Road",NA,NA,"Beckenham","BR3 1QR",2,"0208 7785917",36,1,1,1,1,1,1
136644,"3055407","London","No","Hayes School","Comprehensive (secondary)","Academy converter","West Common Road","Hayes",NA,"Bromley","BR2 7DB",1,"0208 4622767",16,1,1,1,1,1,1
101823,"3065405","London","No","Coloma Convent Girls' School","Comprehensive (secondary)","Voluntary aided school","Upper Shirley Road",NA,NA,"Croydon","CR9 5AS",1,"0208 6546228",17,1,1,1,1,1,1
138178,"3065400","London","No","Riddlesdown Collegiate","Comprehensive (secondary)","Academy converter","Honister Heights",NA,NA,"Purley","CR8 1EX",1,"0208 6685136",56,1,1,1,1,1,1
138187,"3064031","London","No","Woodcote High School","Comprehensive (secondary)","Academy converter","Meadow Rise",NA,NA,"Coulsdon","CR5 2EH",2,"0208 6686464",58,1,1,1,1,1,1
135311,"3066906","London","No","Harris City Academy Crystal Palace","Comprehensive (secondary)","Academy sponsor led","Maberley Road","Upper Norwood",NA,"London","SE19 2JH",1,"0208 7712261",38,1,1,1,1,1,1
135654,"3066907","London","No","Oasis Academy Coulsdon","Comprehensive (secondary)","Academy sponsor led","Homefield Road","Old Coulsdon",NA,"Croydon","CR5 1ES",2,"0173 7551161",39,1,1,1,1,1,1
137754,"3065406","London","No","Norbury Manor Business and Enterprise College for Girls","Comprehensive (secondary)","Academy converter","Kensington Avenue",NA,NA,"Thornton Heath","CR7 8BT",2,"0208 6790062",63,1,1,1,1,1,1
137546,"3074602","London","No","Twyford Church of England High School","Comprehensive (secondary)","Academy converter","Twyford Crescent",NA,"Acton","London","W3 9PP",1,"0208 7520141",29,1,1,1,1,1,1
101941,"3075402","London","No","The Ellen Wilkinson School for Girls","Comprehensive (secondary)","Foundation school","Queen's Drive","Acton",NA,"London","W3 0HW",2,"0208 7521525",87,1,1,1,1,1,1
101939,"3075400","London","No","Brentside High School","Comprehensive (secondary)","Foundation school","Greenford Avenue","Hanwell",NA,"London","W7 1JJ",2,"0208 5759162",90,1,1,1,1,1,1
101934,"3074603","London","No","The Cardinal Wiseman Catholic School","Comprehensive (secondary)","Voluntary aided school","Greenford Road",NA,NA,"Greenford","UB6 9AW",2,"0208 5758222",48,1,1,1,1,1,1
137221,"3075403","London","No","Drayton Manor High School","Comprehensive (secondary)","Academy converter","Drayton Bridge Road","Hanwell",NA,"London","W7 1EU",1,"0208 3571900",91,1,1,1,1,1,1
102045,"3084026","London","No","Winchmore School","Comprehensive (secondary)","Community school","Laburnum Grove","Winchmore Hill",NA,"London","N21 3HS",2,"0208 3607773",76,1,1,1,1,1,1
102058,"3085403","London","No","St Ignatius College","Comprehensive (secondary)","Voluntary aided school","Turkey Street",NA,NA,"Enfield","EN1 4NP",2,"0199 2717835",52,1,1,1,1,1,1
102052,"3084702","London","No","Bishop Stopford's School","Comprehensive (secondary)","Voluntary aided school","Brick Lane",NA,NA,"Enfield","EN1 3PU",2,"0208 8041906",53,1,1,1,1,1,1
102048,"3084030","London","No","Enfield County School","Comprehensive (secondary)","Community school","Holly Walk",NA,NA,"Enfield","EN2 6QG",1,"0208 3633030",63,1,1,1,1,1,1
142727,"3084029","London","No","Southgate School","Comprehensive (secondary)","Academy converter","Sussex Way","Cockfosters",NA,"Barnet","EN4 0BL",1,"0208 4499583",53,1,1,1,1,1,1
102055,"3085400","London","No","The Latymer School","Selective (grammar)","Voluntary aided school","Haselbury Road",NA,NA,"London","N9 9TN",1,"0208 8074037",12,1,1,1,1,1,1
102157,"3094033","London","No","Gladesmore Community School","Comprehensive (secondary)","Community school","Crowland Road","Tottenham",NA,"London","N15 6EB",1,"0208 8000884",154,1,1,1,1,1,1
102156,"3094032","London","No","Fortismere School","Comprehensive (secondary)","Foundation school","Southwing","Tetherdown","Muswell Hill","London","N10 1NE",1,"0208 3654400",38,1,1,1,1,1,1
102153,"3094029","London","No","Hornsey School for Girls","Comprehensive (secondary)","Community school","Inderwick Road",NA,NA,"London","N8 9JF",2,"0208 3486191",63,1,1,1,1,1,1
137531,"3094036","London","No","Alexandra Park School","Comprehensive (secondary)","Academy converter","Bidwell Gardens",NA,NA,"London","N11 2AZ",1,"0208 8264880",58,1,1,1,1,1,1
102243,"3104700","London","No","The Sacred Heart Language College","Comprehensive (secondary)","Voluntary aided school","High Street","Wealdstone",NA,"Harrow","HA3 7AY",1,"0208 8639922",26,1,1,1,1,1,1
137075,"3104021","London","No","Park High School","Comprehensive (secondary)","Academy converter","Thistlecroft Gardens",NA,NA,"Stanmore","HA7 1PL",1,"0208 9522803",73,1,1,1,1,1,1
137028,"3104024","London","No","Nower Hill High School","Comprehensive (secondary)","Academy converter","George V Avenue",NA,NA,"Pinner","HA5 5RP",1,"0208 8630877",68,1,1,1,1,1,1
102239,"3104026","London","No","Whitmore High School","Comprehensive (secondary)","Community school","Porlock Avenue",NA,NA,"Harrow","HA2 0AD",1,"0208 8647688",83,1,1,1,1,1,1
137178,"3104032","London","No","Bentley Wood High School","Comprehensive (secondary)","Academy converter","Clamp Hill",NA,NA,"Stanmore","HA7 3JW",1,"0208 9543623",72,1,1,1,1,1,1
138227,"3104000","London","No","Avanti House School","Comprehensive (secondary)","Free schools","Beaulieu Drive",NA,NA,"Pinner","HA5 1NB",2,"0208 2496830",10,1,1,1,1,1,1
137040,"3114700","London","No","The Campion School","Comprehensive (secondary)","Academy converter","Wingletye Lane",NA,NA,"Hornchurch","RM11 3BX",2,"0170 8452332",14,1,1,1,1,1,1
137396,"3114001","London","No","Redden Court School","Comprehensive (secondary)","Academy converter","Cotswold Road","Harold Wood",NA,"Romford","RM3 0TS",2,"0170 8342293",32,1,1,1,1,1,1
137197,"3114000","London","No","Hall Mead School","Comprehensive (secondary)","Academy converter","Marlborough Gardens",NA,NA,"Upminster","RM14 1SF",1,"0170 8225684",26,1,1,1,1,1,1
143428,"3114007","London","No","Harris Academy Rainham","0","Academy sponsor led","Lambs Lane South",NA,NA,"Rainham","RM13 9XD",NA,NA,45,1,1,1,1,1,1
136600,"3115402","London","No","The Coopers' Company and Coborn School","Comprehensive (secondary)","Academy converter","St Mary's Lane",NA,NA,"Upminster","RM14 3HS",2,"0170 8250500",11,1,1,1,1,1,1
137145,"3114600","London","No","St Edward's Church of England School & Sixth Form College","Comprehensive (secondary)","Academy converter","London Road",NA,NA,"Romford","RM7 9NX",3,"0170 8730462",43,1,1,1,1,1,1
136329,"3124654","London","No","Guru Nanak Sikh Academy","Comprehensive (secondary)","Academy converter","Springfield Road",NA,NA,"Hayes","UB4 0LT",2,"0208 5736085",26,1,1,1,1,1,1
136711,"3125403","London","No","Queensmead School","Comprehensive (secondary)","Academy converter","Queens Walk",NA,NA,"Ruislip","HA4 0LS",1,"0208 8456266",58,1,1,1,1,1,1
137077,"3125406","London","No","Rosedale College","Comprehensive (secondary)","Academy converter","Wood End Green Road",NA,NA,"Hayes","UB3 2SE",2,"0208 5732097",36,1,1,1,1,1,1
136631,"3125410","London","No","Swakeleys School for Girls","Comprehensive (secondary)","Academy converter","Clifton Gardens","Hillingdon",NA,"Uxbridge","UB10 0EJ",1,"0189 5251962",55,1,1,1,1,1,1
137618,"3134023","London","No","Springwest Academy","Comprehensive (secondary)","Academy converter","Browells Lane",NA,NA,"Feltham","TW13 7EF",2,"0208 8313000",61,1,1,1,1,1,1
138924,"3134026","London","No","Heston Community School","Comprehensive (secondary)","Academy converter","Heston Road","Heston",NA,"Hounslow","TW5 0QR",2,"0208 5721931",60,1,1,1,1,1,1
102539,"3134028","London","No","The Heathland School","Comprehensive (secondary)","Community school","Wellington Road South",NA,NA,"Hounslow","TW4 5JD",1,"0208 5724411",97,1,1,1,1,1,1
136341,"3134027","London","No","Lampton Academy","Comprehensive (secondary)","Academy converter","Lampton Avenue",NA,NA,"Hounslow","TW3 4EP",1,"0208 5721936",68,1,1,1,1,1,1
136522,"3134029","London","No","Cranford Community College","Comprehensive (secondary)","Academy converter","High Street","Cranford",NA,"Hounslow","TW5 9PD",1,"0208 8972001",71,1,1,1,1,1,1
102545,"3135401","London","No","Gunnersbury Catholic School","Comprehensive (secondary)","Voluntary aided school","The Ride","Boston Manor Road",NA,"Brentford","TW8 9LB",1,"0208 5687281",39,1,1,1,1,1,1
137995,"3134800","London","No","St Mark's Catholic School","Comprehensive (secondary)","Academy converter","106 Bath Road",NA,NA,"Hounslow","TW3 3EJ",1,"0208 5773600",19,1,1,1,1,1,1
138266,"3134000","London","No","Reach Academy Feltham","Comprehensive (secondary)","Free schools","53-55 High Street",NA,NA,"Feltham","TW13 4AB",1,"0208 8931099",24,1,1,1,1,1,1
139989,"3134600","London","No","The Green School for Girls","Comprehensive (secondary)","Academy converter","Busch Corner","London Road",NA,"Isleworth","TW7 5BB",1,"0208 3218080",47,1,1,1,1,1,1
137299,"3145401","London","No","Richard Challoner School","Modern (secondary)","Academy converter","Manor Drive North",NA,NA,"New Malden","KT3 5PE",1,"0208 3305947",16,1,1,1,1,1,1
136910,"3145400","London","No","Tiffin School","Selective (grammar)","Academy converter","Queen Elizabeth Road",NA,NA,"Kingston upon Thames","KT2 6RL",1,"0208 5464638",7,1,1,1,1,1,1
137848,"3144004","London","No","Coombe Girls' School","Modern (secondary)","Academy converter","Clarence Avenue",NA,NA,"New Malden","KT3 3TU",1,"0208 9421242",47,1,1,1,1,1,1
138459,"3145402","London","No","The Holy Cross School","Modern (secondary)","Academy converter","25 Sandal Road",NA,NA,"New Malden","KT3 5AR",1,"0208 3954225",25,1,1,1,1,1,1
102679,"3154500","London","No","Rutlish School","Comprehensive (secondary)","Voluntary controlled school","Watery Lane","Merton Park",NA,"London","SW20 9AD",1,"0208 5421212",54,1,1,1,1,1,1
102673,"3154050","London","No","Ricards Lodge High School","Comprehensive (secondary)","Community school","Lake Road","Wimbledon",NA,"London","SW19 7HB",1,"0208 9462208",66,1,1,1,1,1,1
102681,"3154701","London","No","Wimbledon College","Comprehensive (secondary)","Voluntary aided school","Edge Hill",NA,NA,"London","SW19 4NS",2,"0208 9462533",30,1,1,1,1,1,1
140373,"3164005","London","No","Langdon Academy","Comprehensive (secondary)","Academy sponsor led","Sussex Road","East Ham",NA,"London","E6 2PS",3,"0208 4712411",176,1,1,1,1,1,1
139703,"3164003","London","No","Chobham Academy","Comprehensive (secondary)","Academy sponsor led","40 Cheering Lane",NA,NA,"London","E20 1BD",1,"0203 7476060",29,1,1,1,1,1,1
102785,"3164035","London","Yes","Sarah Bonnell School","Comprehensive (secondary)","Community school","Deanery Road",NA,NA,"London","E15 4LP",2,"0208 5346791",153,1,1,1,1,1,1
136669,"3164031","London","No","Brampton Manor Academy","Comprehensive (secondary)","Academy converter","Roman Road",NA,NA,"London","E6 3SQ",1,"0207 5400500",178,1,1,1,1,1,1
102787,"3164601","London","No","St Bonaventure's RC School","Comprehensive (secondary)","Voluntary aided school","Boleyn Road","Forest Gate",NA,"London","E7 9QD",1,"0208 4723844",74,1,1,1,1,1,1
102775,"3164008","London","Yes","Forest Gate Community School","Comprehensive (secondary)","Community school","Forest Lane",NA,NA,"London","E7 9BB",NA,"0208 5348666",90,1,1,1,1,1,1
138196,"3164001","London","No","School 21","Comprehensive (secondary)","Free schools","Pitchford Street",NA,NA,"Stratford","E15 4RZ",1,"0208 2622121",48,1,1,1,1,1,1
102778,"3164025","London","Yes","Lister Community School","Comprehensive (secondary)","Community school","St Mary's Road","Plaistow",NA,"London","E13 9AE",2,"0208 4713311",164,1,1,1,1,1,1
102786,"3164600","London","No","St Angela's Ursuline School","Comprehensive (secondary)","Voluntary aided school","St George's Road","Forest Gate",NA,"London","E7 8HU",1,"0208 4726022",92,1,1,1,1,1,1
102777,"3164016","London","Yes","Rokeby School","Comprehensive (secondary)","Community school","Barking Road",NA,NA,"London","E16 4DD",2,"0208 5348946",112,1,1,1,1,1,1
102850,"3174007","London","No","Ilford County High School","Selective (grammar)","Community school","Fremantle Road","Barkingside",NA,"Ilford","IG6 2JB",1,"0208 5516496",15,1,1,1,1,1,1
102861,"3174604","London","No","Kantor King Solomon High School","Comprehensive (secondary)","Voluntary aided school","Forest Road","Barkingside",NA,"Ilford","IG6 3HB",2,"0208 4981300",39,1,1,1,1,1,1
138518,"3174001","London","No","Ark Isaac Newton Academy","Comprehensive (secondary)","Academy sponsor led","1 Cricklefield Place",NA,NA,"Ilford","IG1 1FY",1,"0208 9116666",55,1,1,1,1,1,1
140575,"3174030","London","No","Beal High School","Comprehensive (secondary)","Academy converter","Woodford Bridge Road",NA,NA,"Ilford","IG4 5LP",1,"0208 5514954",43,1,1,1,1,1,1
102852,"3174025","London","No","Woodford County High School","Selective (grammar)","Community school","High Road",NA,NA,"Woodford Green","IG8 9LA",1,"0208 5040611",7,1,1,1,1,1,1
102854,"3174029","London","No","Woodbridge High School","Comprehensive (secondary)","Community school","St Barnabas Road",NA,NA,"Woodford Green","IG8 7DQ",2,"0208 5049618",58,1,1,1,1,1,1
138825,"3184006","London","No","Grey Court School","Comprehensive (secondary)","Academy converter","Ham Street","Ham",NA,"Richmond","TW10 7HN",1,"0208 9481173",44,1,1,1,1,1,1
138461,"3184021","London","No","Waldegrave School","Comprehensive (secondary)","Academy converter","Fifth Cross Road",NA,NA,"Twickenham","TW2 5LH",1,"0208 8943244",27,1,1,1,1,1,1
138651,"3184010","London","No","Orleans Park School","Comprehensive (secondary)","Academy converter","Richmond Road",NA,NA,"Twickenham","TW1 3BB",1,"0208 8910187",31,1,1,1,1,1,1
103013,"3195406","London","No","St Philomena's Catholic High School for Girls","Comprehensive (secondary)","Voluntary aided school","Pound Street",NA,NA,"Carshalton","SM5 3PS",1,"0208 6422025",27,1,1,1,1,1,1
136795,"3195401","London","No","Nonsuch High School for Girls","Selective (grammar)","Academy converter","Ewell Road","Cheam",NA,"Sutton","SM3 8AB",2,"0208 3943400",9,1,1,1,1,1,1
136789,"3195405","London","No","Wallington High School for Girls","Selective (grammar)","Academy converter","Woodcote Road",NA,NA,"Wallington","SM6 0PH",2,"0208 6472380",10,1,1,1,1,1,1
136914,"3194011","London","No","Glenthorne High School","Comprehensive (secondary)","Academy converter","Sutton Common Road",NA,NA,"Sutton","SM3 9PS",1,"0208 6446307",54,1,1,1,1,1,1
136798,"3195407","London","No","Wallington County Grammar School","Selective (grammar)","Academy converter","Croydon Road",NA,NA,"Wallington","SM6 7PH",1,"0208 6472235",13,1,1,1,1,1,1
136621,"3195400","London","No","Wilson's School","Selective (grammar)","Academy converter","Mollison Drive",NA,NA,"Wallington","SM6 9JW",1,"0208 7732931",7,1,1,1,1,1,1
136787,"3195404","London","No","Sutton Grammar School","Selective (grammar)","Academy converter","Manor Lane",NA,NA,"Sutton","SM1 4AS",1,"0208 6423821",8,1,1,1,1,1,1
103103,"3204072","London","No","Walthamstow School for Girls","Comprehensive (secondary)","Community school","Church Hill","Walthamstow",NA,"London","E17 9RZ",2,"0208 5099446",63,1,1,1,1,1,1
137045,"3305407","West Midlands","No","King Edward VI Camp Hill School for Boys","Selective (grammar)","Academy converter","Vicarage Road","Kings Heath",NA,"Birmingham","B14 7QJ",1,"0121 4443188",8,1,1,1,1,1,1
142219,"3304009","West Midlands","No","Waverley School","Comprehensive (secondary)","Academy converter","Yardley Green Road","Bordesley Green",NA,"Birmingham","B9 5QA",1,"0121 5666600",98,1,1,1,1,1,1
136590,"3305414","West Midlands","No","Kings Norton Girls' School","Comprehensive (secondary)","Academy converter","Selly Oak Road",NA,NA,"Birmingham","B30 1HW",2,"0121 6751305",32,1,1,1,1,1,1
103531,"3304606","West Midlands","No","St Paul's School for Girls","Comprehensive (secondary)","Voluntary aided school","Vernon Road","Edgbaston",NA,"Birmingham","B16 9SL",1,"0121 4540895",56,1,1,1,1,1,1
136778,"3304300","West Midlands","No","Sutton Coldfield Grammar School for Girls","Selective (grammar)","Academy converter","Jockey Road",NA,NA,"Sutton Coldfield","B73 5PT",1,"0121 3541479",12,1,1,1,1,1,1
137047,"3305404","West Midlands","No","King Edward VI Handsworth School","Selective (grammar)","Academy converter","Rose Hill Road",NA,NA,"Birmingham","B21 9AR",1,"0121 5542342",9,1,1,1,1,1,1
138136,"3304307","West Midlands","No","The Arthur Terry School","Comprehensive (secondary)","Academy converter","Kittoe Road","Four Oaks",NA,"Sutton Coldfield","B74 4RZ",1,"0121 3232221",37,1,1,1,1,1,1
136592,"3304060","West Midlands","No","Lordswood Girls' School and Sixth Form Centre","Comprehensive (secondary)","Academy converter","Knightlow Road","Harborne",NA,"Birmingham","B17 8QB",1,"0121 4292838",39,1,1,1,1,1,1
137988,"3304660","West Midlands","No","Bishop Vesey's Grammar School","Selective (grammar)","Academy converter","Lichfield Road",NA,NA,"Sutton Coldfield","B74 2NH",1,"0121 2505400",19,1,1,1,1,1,1
103501,"3304193","West Midlands","No","Wheelers Lane Technology College","Comprehensive (secondary)","Community school","Wheelers Lane","Kings Heath",NA,"Birmingham","B13 0SF",1,"0121 4442864",40,1,1,1,1,1,1
136908,"3305410","West Midlands","No","Fairfax","Comprehensive (secondary)","Academy converter","Fairfax Road",NA,NA,"Sutton Coldfield","B75 7JT",2,"0121 3781288",45,1,1,1,1,1,1
103483,"3304015","West Midlands","No","Hodge Hill Girls' School","Comprehensive (secondary)","Community school","Bromford Road","Hodge Hill",NA,"Birmingham","B36 8EY",2,"0121 4643094",55,1,1,1,1,1,1
137043,"3305408","West Midlands","No","King Edward VI Aston School","Selective (grammar)","Academy converter","Frederick Road","Aston",NA,"Birmingham","B6 6DJ",1,"0121 3271130",20,1,1,1,1,1,1
138586,"3304004","West Midlands","No","Nishkam High School","Comprehensive (secondary)","Free schools","Great King Street North",NA,NA,"Birmingham","B19 2LF",1,"0121 3487660",27,1,1,1,1,1,1
103562,"3305415","West Midlands","No","King's Norton Boys' School","Comprehensive (secondary)","Foundation school","Northfield Road",NA,NA,"Birmingham","B30 1DY",2,"0121 6280010",34,1,1,1,1,1,1
103514,"3304237","West Midlands","No","Swanshurst School","Comprehensive (secondary)","Community school","Brook Lane","Billesley",NA,"Birmingham","B13 0TW",1,"0121 4642400",130,1,1,1,1,1,1
137044,"3305406","West Midlands","No","King Edward VI Camp Hill School for Girls","Selective (grammar)","Academy converter","Vicarage Road","Kings Heath",NA,"Birmingham","B14 7QJ",1,"0121 4442150",12,1,1,1,1,1,1
133306,"3304334","West Midlands","No","Al-Hijrah School","Comprehensive (secondary)","Voluntary aided school","Burbidge Road","Bordesley Green",NA,"Birmingham","B9 4US",4,"0121 7737979",59,1,1,1,1,1,1
136152,"3306906","West Midlands","No","King Edward VI Sheldon Heath Academy","Comprehensive (secondary)","Academy sponsor led","Sheldon Heath Road","Sheldon",NA,"Birmingham","B26 2RZ",2,"0121 4644428",97,1,1,1,1,1,1
139746,"3304240","West Midlands","No","Hamstead Hall Academy","Comprehensive (secondary)","Academy converter","Craythorne Avenue","Handsworth Wood",NA,"Birmingham","B20 1HL",2,"0121 3867510",75,1,1,1,1,1,1
136963,"3314037","West Midlands","No","Finham Park School","Comprehensive (secondary)","Academy converter","Green Lane",NA,NA,"Coventry","CV3 6EA",1,"0247 6418135",26,1,1,1,1,1,1
136126,"3316906","West Midlands","No","Sidney Stringer Academy","Comprehensive (secondary)","Academy sponsor led","2 Primrose Hill Street",NA,NA,"Coventry","CV1 5LY",1,"0247 6251756",111,1,1,1,1,1,1
103742,"3314701","West Midlands","No","Bishop Ullathorne Catholic School","Comprehensive (secondary)","Voluntary aided school","Leasowes Avenue",NA,NA,"Coventry","CV3 6BH",2,"0247 6414515",36,1,1,1,1,1,1
137272,"3314800","West Midlands","No","Blue Coat Church of England School and Music College","Comprehensive (secondary)","Academy converter","Terry Road",NA,NA,"Coventry","CV1 2BA",2,"0247 6223542",41,1,1,1,1,1,1
139872,"3324119","West Midlands","No","Redhill School","Comprehensive (secondary)","Academy converter","Junction Road",NA,NA,"Stourbridge","DY8 1JX",1,"0138 4816355",29,1,1,1,1,1,1
136310,"3344014","West Midlands","No","Tudor Grange Academy, Solihull","Comprehensive (secondary)","Academy converter","Dingle Lane",NA,NA,"Solihull","B91 3PD",1,"0121 7055100",17,1,1,1,1,1,1
136333,"3344017","West Midlands","No","Arden","Comprehensive (secondary)","Academy converter","Station Road","Knowle",NA,"Solihull","B93 0PT",1,"0156 4773348",20,1,1,1,1,1,1
104119,"3344650","West Midlands","No","St Peter's Catholic School and Specialist Science College","Comprehensive (secondary)","Voluntary aided school","Whitefields Road",NA,NA,"Solihull","B91 3NZ",1,"0121 7053988",22,1,1,1,1,1,1
136773,"3355404","West Midlands","No","Queen Mary's Grammar School","Selective (grammar)","Academy converter","Sutton Road",NA,NA,"Walsall","WS1 2PG",1,"0192 2720696",13,1,1,1,1,1,1
136777,"3355403","West Midlands","No","Queen Mary's High School","Selective (grammar)","Academy converter","Upper Forster Street",NA,NA,"Walsall","WS4 2AE",1,"0192 2721013",8,1,1,1,1,1,1
137916,"3415404","North West","No","The Blue Coat School","Selective (grammar)","Academy converter","Church Road","Wavertree",NA,"Liverpool","L15 9EE",1,"0151 7331407",12,1,1,1,1,1,1
135174,"3416907","North West","No","The Belvedere Academy","Comprehensive (secondary)","Academy sponsor led","17 Belvidere Road","Princes Park",NA,"Liverpool","L8 3TF",1,"0151 7271284",28,1,1,1,1,1,1
139686,"3414004","North West","No","Liverpool College","Comprehensive (secondary)","Academy sponsor led","Queen's Drive","Mossley Hill",NA,"Liverpool","L18 8BG",2,"0151 7244000",11,1,1,1,1,1,1
104703,"3414690","North West","No","King David High School","Comprehensive (secondary)","Voluntary aided school","Childwall Road",NA,NA,"Liverpool","L15 6UZ",1,"0151 2351420",7,1,1,1,1,1,1
137604,"3434109","North West","No","Greenbank High School","Comprehensive (secondary)","Academy converter","Hastings Road",NA,NA,"Southport","PR8 2LT",1,"0170 4567591",36,1,1,1,1,1,1
