"URN","LAESTAB","Region","Closed","SCHNAME","addmission_type","institution_type","ADDRESS1","ADDRESS2","ADDRESS3","TOWN","PCODE","OFSTED","TELNUM","disadv1617","dis_5e_m1617","nondis_5e_m1617","dis_p8_1617","nondis_p8_1617","dis_ebacc_ent_1617","nondis_ebacc_ent_1617"
136606,"9195400","East","No","Rickmansworth School","Comprehensive (secondary)","Academy converter","Scots Hill",NA,NA,"Rickmansworth","WD3 3AQ",2,"0192 3773296",18,1,1,1,1,1,1
136276,"9195401","East","No","Watford Grammar School for Boys","Comprehensive (secondary)","Academy converter","Rickmansworth Road",NA,NA,"Watford","WD18 7JF",1,"0192 3208900",14,1,1,1,1,1,1
137339,"9194083","East","No","St Albans Girls' School","Comprehensive (secondary)","Academy converter","Sandridgebury Lane",NA,NA,"St Albans","AL3 6DB",1,"0172 7853134",26,1,1,1,1,1,1
138106,"9194620","East","No","Loreto College","Comprehensive (secondary)","Academy converter","Hatfield Road",NA,NA,"St Albans","AL1 3RQ",1,"0172 7856206",12,1,1,1,1,1,1
137914,"9195418","East","No","Saint Joan of Arc Catholic School","Comprehensive (secondary)","Academy converter","High Street",NA,NA,"Rickmansworth","WD3 1HG",2,"0192 3773881",16,1,1,1,1,1,1
136877,"9195410","East","No","Queens' School","Comprehensive (secondary)","Academy converter","Aldenham Road",NA,NA,"Bushey","WD23 2TY",2,"0192 3224465",31,1,1,1,1,1,1
137002,"9194141","East","No","Freman College","Comprehensive (secondary)","Academy converter","Bowling Green Lane",NA,NA,"Buntingford","SG9 9BT",2,"0176 3271818",22,1,1,1,1,1,1
117577,"9195405","East","No","The Bishop's Stortford High School","Comprehensive (secondary)","Foundation school","London Road",NA,NA,"Bishop's Stortford","CM23 3LU",1,"0127 9868686",8,1,1,1,1,1,1
138286,"9194043","East","No","Beaumont School","Comprehensive (secondary)","Academy converter","Oakwood Drive",NA,NA,"St Albans","AL4 0XB",1,"0172 7854726",15,1,1,1,1,1,1
137532,"9195415","East","No","Goffs School","Comprehensive (secondary)","Academy converter","Goffs Lane","Cheshunt",NA,"Waltham Cross","EN7 5QW",2,"0199 2424200",38,1,1,1,1,1,1
136609,"9194197","East","No","Sandringham School","Comprehensive (secondary)","Academy converter","The Ridgeway",NA,NA,"St Albans","AL4 9NX",1,"0172 7799560",15,1,1,1,1,1,1
140786,"9195420","East","No","The Hertfordshire & Essex High School and Science College","Comprehensive (secondary)","Academy converter","Warwick Road",NA,NA,"Bishop's Stortford","CM23 5NJ",1,"0127 9654127",11,1,1,1,1,1,1
136396,"9194101","East","No","The Broxbourne School","Comprehensive (secondary)","Academy converter","High Road",NA,NA,"Broxbourne","EN10 7DD",2,"0199 2411060",39,1,1,1,1,1,1
117594,"9195422","East","No","St Mary's Catholic School","Comprehensive (secondary)","Voluntary aided school","Windhill",NA,NA,"Bishop's Stortford","CM23 2NQ",1,"0127 9654901",11,1,1,1,1,1,1
135565,"9256907","East Midlands","No","The Priory Academy LSST","Comprehensive (secondary)","Academy sponsor led","Cross O'Cliff Hill",NA,NA,"Lincoln","LN5 8PW",1,"0152 2889977",25,1,1,1,1,1,1
136315,"9255401","East Midlands","No","Queen Elizabeth's Grammar Alford - A Selective Academy","Selective (grammar)","Academy converter","Station Road",NA,NA,"Alford","LN13 9HY",1,"0150 7462403",8,1,1,1,1,1,1
136350,"9255406","East Midlands","No","Caistor Grammar School","Selective (grammar)","Academy converter","Church Street","Caistor",NA,"Market Rasen","LN7 6QJ",1,"0147 2851250",7,1,1,1,1,1,1
120642,"9254027","East Midlands","No","Spalding High School","Selective (grammar)","Community school","Stonegate",NA,NA,"Spalding","PE11 2PJ",1,"0177 5722110",16,1,1,1,1,1,1
138638,"9254004","East Midlands","No","Kesteven and Grantham Girls' School","Selective (grammar)","Academy converter","Sandon Road",NA,NA,"Grantham","NG31 9AU",1,"0147 6563017",11,1,1,1,1,1,1
137092,"9264089","East","No","Diss High School","Comprehensive (secondary)","Academy converter","Walcot Road",NA,NA,"Diss","IP22 4DH",2,"0137 9642424",15,1,1,1,1,1,1
136481,"9265400","East","No","Wymondham College","Comprehensive (secondary)","Academy converter","Golf Links Road","Morley",NA,"Wymondham","NR18 9SZ",1,"0195 3609000",16,1,1,1,1,1,1
137913,"9264605","East","No","Notre Dame High School, Norwich","Comprehensive (secondary)","Academy converter","Surrey Street",NA,NA,"Norwich","NR1 3PB",1,"0160 3611431",28,1,1,1,1,1,1
